branch_id,branch_name,branch_code,ifsc_code,city,state,region,address,manager_name,phone,email,opened_date
BR001,Kavali Branch,BRC0001,ABCB0000001,Pimpri-Chinchwad,Telangana,West,"H.No. 75, Chaudhary Road, Udaipur-451782",Baljiwan Khosla,9150202673,udantdasgupta@arya.com,2018-08-03
BR002,Berhampur Branch,BRC0002,ABCB0000002,Mehsana,Punjab,West,"H.No. 222, Mani, Shahjahanpur-722247",Upkaar Ramaswamy,7203167246,viraj46@kata.biz,2007-04-11
BR003,Deoghar Branch,BRC0003,ABCB0000003,Morena,Andhra Pradesh,South,"27, Acharya Zila, Sambalpur-052587",Warda Chawla,2365451900,bakshiaashi@chauhan.com,2011-06-17
BR004,Ghaziabad Branch,BRC0004,ABCB0000004,Bulandshahr,Tamil Nadu,West,"H.No. 479, Kale Nagar, Machilipatnam-920445",Shivani Gulati,5788792607,ayaansood@kala.com,2020-07-03
BR005,Chennai Branch,BRC0005,ABCB0000005,Bhilai,Andhra Pradesh,East,"96, Kale Ganj, Raurkela Industrial Township 984180",Praneel Nair,4036763755,ryan46@sule.net,2003-01-16
BR006,Anantapur Branch,BRC0006,ABCB0000006,Nagpur,Andhra Pradesh,North,"91, Sen Nagar, Noida-466180",Advika Prashad,8985197476,agrawalharish@khanna-maharaj.net,2014-12-01
BR007,Raiganj Branch,BRC0007,ABCB0000007,Dewas,West Bengal,North,"H.No. 10, Ben Zila, Miryalaguda-779278",Bhanumati Atwal,6184318538,radharau@wason.com,2021-11-02
BR008,Agra Branch,BRC0008,ABCB0000008,Bijapur,Telangana,West,"95/80, Venkataraman Path, Dibrugarh 393348",Udyati Bail,8425905870,vartygirik@murty.info,2024-12-20
BR009,Danapur Branch,BRC0009,ABCB0000009,Proddatur,Karnataka,North,"H.No. 82, Bhakta, Mangalore 252417",Sathvik Pathak,0631800932,bassikabir@mohan.org,2025-04-10
BR010,Asansol Branch,BRC0010,ABCB0000010,Naihati,Tamil Nadu,South,"H.No. 40, Gole, Burhanpur-738206",Banjeet Gera,8287364062,chandadaksh@lanka.org,2021-06-06
BR011,Mumbai Branch,BRC0011,ABCB0000011,Ghaziabad,West Bengal,North,"H.No. 387, Brahmbhatt, Karnal 418549",Samuel Dayal,7144869642,daksha25@sengupta.info,2006-04-28
BR012,Ambala Branch,BRC0012,ABCB0000012,Patiala,Punjab,West,"00, Chandran Path, Bihar Sharif 616736",Ikshita Dugar,8757611912,aggarwalbakhshi@tripathi.biz,2002-06-12
BR013,Nagercoil Branch,BRC0013,ABCB0000013,Dehradun,Tamil Nadu,South,"H.No. 90, Karan Path, Siwan-873275",Hamsini Hayre,7292011094,sachi82@devi.com,2009-06-20
BR014,Mau Branch,BRC0014,ABCB0000014,Rewa,Delhi,West,"014, Mukherjee Zila, Deoghar-307621",Max Devan,6059092932,parth61@joshi.com,2023-11-11
BR015,Siwan Branch,BRC0015,ABCB0000015,Ghaziabad,Andhra Pradesh,North,"34/953, Sarraf Circle, Anand 938447",Bhavani Handa,3758060761,singhalchakradev@gola-chahal.org,2021-08-25
BR016,Siliguri Branch,BRC0016,ABCB0000016,Bellary,Telangana,North,"219, Anne Ganj, Tenali-704608",Azaan Goswami,8325003951,raaginisampath@singhal-tank.com,2012-09-04
BR017,Nanded Branch,BRC0017,ABCB0000017,Dhanbad,Kerala,East,"69, Dayal Road, Hazaribagh-254405",Upasna Ramakrishnan,3373208340,wakeeta27@lall.com,2012-10-08
BR018,Durgapur Branch,BRC0018,ABCB0000018,Etawah,Punjab,South,"27, Dani Path, Berhampore-931565",Chaitanya Vaidya,1219448747,lthaker@virk-setty.org,2012-10-25
BR019,Siwan Branch,BRC0019,ABCB0000019,Mira-Bhayandar,Maharashtra,South,"576, Sani Nagar, Guwahati 419568",Raghav Singh,7201445428,anamika97@sagar.com,2006-03-10
BR020,Sultan Pur Majra Branch,BRC0020,ABCB0000020,Morena,Maharashtra,South,"943, Kalla Chowk, Kurnool-111579",Upasna Raghavan,7466416321,wasonishita@saha.com,2001-08-26
